experimenter,RA,location,study name,IRB_protocol,subid,study version,gender,hisp,ethnicity,english,numlang,parented,othered,premie,xcalib,ycalib,consent,age,agegroup,exclude,notes,,
AEN,AEN,CDM,negtracker,19960,110812_05,5_2,female,no,asian,5,2,6,6,no,0.135,1.27,1,2.0862423,2,1,no english,,
AEN,AEN,CDM,negtracker,19960,110812_06,5_2,female,no,pacific,100,1,6,4,no,3.5325,0.9425,1,1.645448323,1,0,,,
AEN,AEN,CDM,negtracker,19960,110812_07,5_2,female,no,asian,25,1,6,6,no,2.96,0.9125,1,2.795345654,2,1,no english,,
AEN,AEN,CDM,negtracker,19960,110812_08,5_2,male,no,white,25,2,6,6,no,0.6725,1.335,1,2.083504449,2,1,child exposed mostly to swedish but prefers english,,
AEN,AEN,CDM,negtracker,19960,110812_09,5_2,male,no,other,90,2,3,3,no,0.95,1.34,1,1.453798768,1,4,parent interference,,
AEN,AEN,CDM,negtracker,19960,110812_10,5_2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,3,no data,,
AEN,AEN,CDM,negtracker,19960,110812_11,5_2,male,no,asian,100,2,3,3,no,0.6725,1.4175,1,1.420944559,1,0,,,
AEN,AEN,CDM,negtracker,19960,110812_12,5_2,male,no,white,100,1,4,4,no,1.01,1.025,1,2.091718001,2,0,,,
AEN,AEN,CDM,negtracker,19960,111012_01,5_1,male,no,white,75,1,4,4,no,2.83,2.1025,0,1.483915127,1,0,,,
AEN,AEN,CDM,negtracker,19960,111012_02,5_1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.945,3.5225,1,NaN,NaN,2,no data (early fussing),,
AEN,AEN,CDM,negtracker,19960,111012_03,5_1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8675,1.5925,,NaN,NaN,2,no data (early fussing),,
AEN,AEN,CDM,negtracker,19960,111012_04,5_1,female,yes,white,75,2,6,6,no,1.7525,1.655,0,1.56605065,1,0,,,
AEN,AEN,CDM,negtracker,19960,111012_05,5_1,male,yes,asian,90,4,6,6,no,NaN,NaN,1,2.097193703,2,3,no data (comp would not calibrate),,
AEN,AEN,CDM,negtracker,19960,111012_06,5_2,female,no,white,50,3,6,4,no,3.2025,0.7975,1,2.767967146,2,1,no english,,
AEN,AEN,CDM,negtracker,19960,111012_07,5_2,female,no,NaN,75,2,6,6,no,0.5,1.815,1,2.683093771,2,0,,,
AEN,AEN,CDM,negtracker,19960,111012_08,5_2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,1,"no data, no english",,
AEN,AEN,CDM,negtracker,19960,111012_09,5_2,NaN,NaN,NaN,100,1,NaN,NaN,NaN,0.3125,1.4025,1,2,2,0,,,
AEN,AEN,CDM,negtracker,19960,111012_10,5_2,female,no,other,75,2,6,6,no,0.32,0.5475,1,3.110198494,3,0,,,
AEN,AEN,CDM,negtracker,19960,111012_11,5_1,female,yes,black,100,1,6,6,no,3.045,2.7075,1,1.2183436,1,0,,,
AEN,AEN,CDM,negtracker,19960,111012_12,5_1,female,no,other,100,1,3,3,no,4.1475,1.0825,1,2.455852156,2,0,,,
