bank,item,a,d
eng_comprehension_full,paper,2.4685829723029165,-1.7834495640241548
eng_comprehension_full,park,1.7551205526338645,-1.8365225253974358
eng_comprehension_full,party,2.118058668495186,-4.716219446312307
eng_comprehension_full,pattycake,0.8075738430566624,0.719291399869877
eng_comprehension_full,peas,1.9571087342450106,-1.797322036030695
eng_comprehension_full,peekaboo,1.416206203786797,2.7898752830703026
eng_comprehension_full,pen,1.9799968915221062,-1.727224763629822
eng_comprehension_full,penguin,2.0687356238724655,-3.893587502666099
eng_comprehension_full,penny,1.980153001057264,-3.9930691096094293
eng_comprehension_full,people,2.0605904277603666,-3.1773101914607147
eng_comprehension_full,person,2.0805603608765453,-4.423373022252896
eng_comprehension_full,picture,2.702743308955893,-1.8912294288780946
eng_comprehension_full,pig,2.2134081058756117,-0.9539982588392671
eng_comprehension_full,pillow,2.2215872094858176,-1.1943191265622795
eng_comprehension_full,pizza,2.0973552159167457,-2.278023791196127
eng_comprehension_full,plant,2.0695391142640447,-2.0611150352551753
eng_comprehension_full,plate,3.0567788696709104,-2.6460643359761855
eng_comprehension_full,play,2.5493667258006276,-0.9447099978856363
eng_comprehension_full,play pen,0.9919081563712026,-2.1030740450778875
eng_comprehension_full,please,1.9687745140883453,-1.1201741125176092
eng_comprehension_full,pony,1.944465470509568,-3.231408787760359
eng_comprehension_full,pool,1.243738523873629,-1.5289903731369976
eng_comprehension_full,potty,2.0339268699570754,-2.051996045631188
eng_comprehension_full,pretty,1.4421297972923748,-1.5531343672693558
eng_comprehension_full,pull,2.181035774070195,-2.31810221998875
eng_comprehension_full,puppy,1.5215458259760477,-0.3249441315034442
eng_comprehension_full,purse,1.9807941292773916,-1.633226429966597
eng_comprehension_full,push,1.9702594788439547,-1.355404481259088
eng_comprehension_full,put,2.33200437570343,-1.5356494633381228
eng_comprehension_full,quack quack,1.7833221865730151,0.06952604510536631
eng_comprehension_full,radio,1.9281507808493328,-2.5470999584925185
eng_comprehension_full,rain,2.2882099204070605,-2.6565633484509172
eng_comprehension_full,raisin,1.6340742899984642,-2.1397709809456216
