target_side,vanilla_trial,condition,target_id,distractor_id,full_phrase,trial_type_id,dataset_id,lab_trial_id,aoi_region_set_id,point_of_disambiguation,full_phrase_language,trial_type_aux_data
left,TRUE,Colors_familiar,4,5,Baby Canyoufindthe_ Baby,88,0,Colors_familiar-Baby-Car,NA,0,eng,NA
right,FALSE,Colors_novel,2,1,Neem Wheresthe_ Neem,89,0,Colors_novel-Neem-FribbleA,NA,0,eng,NA
right,TRUE,Colors_familiar,5,8,Car Wheresthe_ Car,90,0,Colors_familiar-Car-Ball,NA,0,eng,NA
right,FALSE,Colors_novel,7,9,Neem Canyoufindthe_ Neem,91,0,Colors_novel-Neem-FribbleB,NA,0,eng,NA
left,TRUE,Colors_familiar,4,3,Baby Wheresthe_ Baby,92,0,Colors_familiar-Baby-Dog,NA,0,eng,NA
left,FALSE,Colors_novel,9,7,Lif Canyoufindthe_ Lif,93,0,Colors_novel-Lif-FribbleA,NA,0,eng,NA
left,FALSE,Colors_novel,7,9,Neem Wheresthe_ Neem,94,0,Colors_novel-Neem-FribbleB,NA,0,eng,NA
right,TRUE,Colors_familiar,3,4,Dog Canyoufindthe_ Dog,95,0,Colors_familiar-Dog-Baby,NA,0,eng,NA
left,TRUE,Colors_familiar,8,6,Ball Wheresthe_ Ball,96,0,Colors_familiar-Ball-Kitty,NA,0,eng,NA
right,FALSE,Colors_novel,9,7,Lif Canyoufindthe_ Lif,97,0,Colors_novel-Lif-FribbleA,NA,0,eng,NA
right,TRUE,Colors_familiar,3,0,Dog Wheresthe_ Dog,98,0,Colors_familiar-Dog-Shoe,NA,0,eng,NA
left,TRUE,Colors_familiar,6,4,Kitty Canyoufindthe_ Kitty,99,0,Colors_familiar-Kitty-Baby,NA,0,eng,NA
left,TRUE,Colors_familiar,0,3,Shoe Canyoufindthe_ Shoe,100,0,Colors_familiar-Shoe-Dog,NA,0,eng,NA
right,FALSE,Colors_novel,7,9,Neem Wheresthe_ Neem,101,0,Colors_novel-Neem-FribbleB,NA,0,eng,NA
right,TRUE,Colors_familiar,5,4,Car Canyoufindthe_ Car,102,0,Colors_familiar-Car-Baby,NA,0,eng,NA
left,FALSE,Colors_novel,1,2,Lif Wheresthe_ Lif,103,0,Colors_novel-Lif-FribbleB,NA,0,eng,NA
right,TRUE,Colors_familiar,5,3,Car Wheresthe_ Car,104,0,Colors_familiar-Car-Dog,NA,0,eng,NA
left,TRUE,Colors_familiar,4,3,Baby Wheresthe_ Baby,105,0,Colors_familiar-Baby-Dog,NA,0,eng,NA
right,FALSE,Colors_novel,1,2,Lif Canyoufindthe_ Lif,106,0,Colors_novel-Lif-FribbleB,NA,0,eng,NA
right,TRUE,Colors_familiar,0,4,Shoe Canyoufindthe_ Shoe,107,0,Colors_familiar-Shoe-Baby,NA,0,eng,NA
right,TRUE,Colors_familiar,6,3,Kitty Wheresthe_ Kitty,108,0,Colors_familiar-Kitty-Dog,NA,0,eng,NA
left,FALSE,Colors_novel,1,2,Lif Wheresthe_ Lif,109,0,Colors_novel-Lif-FribbleB,NA,0,eng,NA
left,TRUE,Colors_familiar,3,4,Dog Canyoufindthe_ Dog,110,0,Colors_familiar-Dog-Baby,NA,0,eng,NA
