trial_id,trial_order,trial,trial_type_id,excluded,exclusion_reason,trial_aux_data
0,1,1,0,FALSE,included,NA
1,2,2,1,FALSE,included,NA
2,3,3,2,FALSE,included,NA
3,4,4,3,FALSE,included,NA
4,5,5,4,TRUE,no looking 1st target window (367-2333ms),NA
5,6,6,5,FALSE,included,NA
6,7,7,6,FALSE,included,NA
7,8,8,7,FALSE,included,NA
8,1,1,8,FALSE,included,NA
9,2,2,9,FALSE,included,NA
10,3,3,10,FALSE,included,NA
11,4,4,11,FALSE,included,NA
12,5,5,12,FALSE,included,NA
13,6,6,13,FALSE,included,NA
14,7,7,14,FALSE,included,NA
15,8,8,15,FALSE,included,NA
16,1,1,16,FALSE,included,NA
17,2,2,17,FALSE,included,NA
18,3,3,18,TRUE,< 50% looking on trial,NA
19,4,4,19,FALSE,included,NA
20,5,5,20,FALSE,included,NA
21,6,6,21,FALSE,included,NA
22,7,7,22,FALSE,included,NA
23,8,8,23,FALSE,included,NA
24,1,1,24,FALSE,included,NA
25,2,2,1,FALSE,included,NA
26,3,3,25,FALSE,included,NA
27,4,4,26,FALSE,included,NA
28,5,5,27,FALSE,included,NA
29,6,6,28,FALSE,included,NA
30,7,7,29,FALSE,included,NA
31,8,8,30,FALSE,included,NA
32,1,1,31,TRUE,no looking 2nd target window (4500-5967,NA
33,2,2,32,FALSE,included,NA
34,3,3,33,FALSE,included,NA
35,4,4,34,FALSE,included,NA
36,5,5,35,TRUE,no looking 2nd target window (4500-5967,NA
37,6,6,36,FALSE,included,NA
38,7,7,37,FALSE,included,NA
39,8,8,38,FALSE,included,NA
40,1,1,39,FALSE,included,NA
41,2,2,40,FALSE,included,NA
42,3,3,41,FALSE,included,NA
43,4,4,42,FALSE,included,NA
44,5,5,43,FALSE,included,NA
45,6,6,13,FALSE,included,NA
46,7,7,44,FALSE,included,NA
47,8,8,45,FALSE,included,NA
48,1,1,46,FALSE,included,NA
49,2,2,47,FALSE,included,NA
50,3,3,48,FALSE,included,NA
51,4,4,49,TRUE,< 50% looking on trial,NA
52,5,5,50,FALSE,included,NA
53,6,6,51,TRUE,< 50% looking on trial,NA
