target_side,target_id,distractor_id,full_phrase,trial_type_id,dataset_id,lab_trial_id,aoi_region_set_id,point_of_disambiguation,full_phrase_language,condition
right,18,15,NA,224,0,TLOTL2-24-2-36,NA,0,eng,
right,19,14,NA,225,0,TLOTL2-24-2-36,NA,0,eng,
right,19,15,NA,226,0,TLOTL2-24-2-36,NA,0,eng,
right,24,0,NA,227,0,TLOTL2-24-2-37,NA,0,eng,
left,16,11,NA,228,0,TLOTL2-24-2-38,NA,0,eng,
left,16,12,NA,229,0,TLOTL2-24-2-38,NA,0,eng,
left,29,11,NA,230,0,TLOTL2-24-2-38,NA,0,eng,
left,29,12,NA,231,0,TLOTL2-24-2-38,NA,0,eng,
left,20,7,NA,232,0,TLOTL2-24-2-39,NA,0,eng,
right,10,9,NA,233,0,TLOTL2-24-2-40,NA,0,eng,
right,9,10,NA,234,0,TLOTL2-24-2-41,NA,0,eng,
left,21,27,NA,235,0,TLOTL2-24-2-42,NA,0,eng,
left,21,28,NA,236,0,TLOTL2-24-2-42,NA,0,eng,
left,22,27,NA,237,0,TLOTL2-24-2-42,NA,0,eng,
left,22,28,NA,238,0,TLOTL2-24-2-42,NA,0,eng,
right,13,17,NA,239,0,TLOTL2-24-2-43,NA,0,eng,
left,30,53,NA,240,0,TL2-1B-2,NA,0,eng,
right,31,54,NA,241,0,TL2-1B-3,NA,0,eng,
left,32,55,NA,242,0,TL2-1B-4,NA,0,eng,
right,33,56,NA,243,0,TL2-1B-5,NA,0,eng,
right,34,48,NA,244,0,TL2-1B-6,NA,0,eng,
right,35,52,NA,245,0,TL2-1B-7,NA,0,eng,
left,36,57,NA,246,0,TL2-1B-8,NA,0,eng,
left,37,46,NA,247,0,TL2-1B-9,NA,0,eng,
right,38,49,NA,248,0,TL2-1B-11,NA,0,eng,
right,39,58,NA,249,0,TL2-1B-12,NA,0,eng,
left,40,51,NA,250,0,TL2-1B-13,NA,0,eng,
right,41,50,NA,251,0,TL2-1B-14,NA,0,eng,
left,42,59,NA,252,0,TL2-1B-15,NA,0,eng,
right,43,60,NA,253,0,TL2-1B-16,NA,0,eng,
left,44,61,NA,254,0,TL2-1B-17,NA,0,eng,
left,45,62,NA,255,0,TL2-1B-18,NA,0,eng,
right,46,37,NA,256,0,TL2-1B-20,NA,0,eng,
left,47,57,NA,257,0,TL2-1B-21,NA,0,eng,
left,48,34,NA,258,0,TL2-1B-22,NA,0,eng,
right,33,56,NA,259,0,TL2-1B-23,NA,0,eng,
right,49,38,NA,260,0,TL2-1B-24,NA,0,eng,
left,39,58,NA,261,0,TL2-1B-25,NA,0,eng,
right,50,41,NA,262,0,TL2-1B-26,NA,0,eng,
left,51,40,NA,263,0,TL2-1B-27,NA,0,eng,
right,52,35,NA,264,0,TL2-1B-29,NA,0,eng,
right,32,55,NA,265,0,TL2-1B-30,NA,0,eng,
left,53,30,NA,266,0,TL2-1B-31,NA,0,eng,
left,42,59,NA,267,0,TL2-1B-32,NA,0,eng,
right,54,31,NA,268,0,TL2-1B-33,NA,0,eng,
left,45,62,NA,269,0,TL2-1B-34,NA,0,eng,
right,43,60,NA,270,0,TL2-1B-35,NA,0,eng,
left,44,61,NA,271,0,TL2-1B-36,NA,0,eng,
right,53,30,NA,272,0,TL2-2A-2,NA,0,eng,
left,54,31,NA,273,0,TL2-2A-3,NA,0,eng,
right,55,32,NA,274,0,TL2-2A-4,NA,0,eng,
left,56,33,NA,275,0,TL2-2A-5,NA,0,eng,
left,48,34,NA,276,0,TL2-2A-6,NA,0,eng,
left,52,35,NA,277,0,TL2-2A-7,NA,0,eng,
right,57,36,NA,278,0,TL2-2A-8,NA,0,eng,
right,46,37,NA,279,0,TL2-2A-9,NA,0,eng,
left,49,38,NA,280,0,TL2-2A-11,NA,0,eng,
left,58,39,NA,281,0,TL2-2A-12,NA,0,eng,
right,51,40,NA,282,0,TL2-2A-13,NA,0,eng,
left,50,41,NA,283,0,TL2-2A-14,NA,0,eng,
right,59,42,NA,284,0,TL2-2A-15,NA,0,eng,
left,60,43,NA,285,0,TL2-2A-16,NA,0,eng,
right,61,44,NA,286,0,TL2-2A-17,NA,0,eng,
right,62,45,NA,287,0,TL2-2A-18,NA,0,eng,
left,37,46,NA,288,0,TL2-2A-20,NA,0,eng,
right,57,47,NA,289,0,TL2-2A-21,NA,0,eng,
right,34,48,NA,290,0,TL2-2A-22,NA,0,eng,
left,56,33,NA,291,0,TL2-2A-23,NA,0,eng,
left,38,49,NA,292,0,TL2-2A-24,NA,0,eng,
right,58,39,NA,293,0,TL2-2A-25,NA,0,eng,
left,41,50,NA,294,0,TL2-2A-26,NA,0,eng,
right,40,51,NA,295,0,TL2-2A-27,NA,0,eng,
left,35,52,NA,296,0,TL2-2A-29,NA,0,eng,
left,55,32,NA,297,0,TL2-2A-30,NA,0,eng,
right,30,53,NA,298,0,TL2-2A-31,NA,0,eng,
right,59,42,NA,299,0,TL2-2A-32,NA,0,eng,
left,31,54,NA,300,0,TL2-2A-33,NA,0,eng,
right,62,45,NA,301,0,TL2-2A-34,NA,0,eng,
left,60,43,NA,302,0,TL2-2A-35,NA,0,eng,
right,61,44,NA,303,0,TL2-2A-36,NA,0,eng,
