trial_id,trial_order,trial_type_id,trial_aux_data,excluded,exclusion_reason
90,8,6,NA,FALSE,NA
103,9,7,NA,FALSE,NA
116,10,8,NA,FALSE,NA
129,11,9,NA,FALSE,NA
142,12,10,NA,FALSE,NA
155,13,11,NA,FALSE,NA
168,15,4,NA,FALSE,NA
181,16,12,NA,FALSE,NA
194,17,13,NA,FALSE,NA
207,18,6,NA,FALSE,NA
220,19,14,NA,FALSE,NA
233,20,15,NA,FALSE,NA
246,22,16,NA,FALSE,NA
259,23,17,NA,FALSE,NA
272,24,18,NA,FALSE,NA
285,25,19,NA,FALSE,NA
298,26,20,NA,FALSE,NA
311,27,21,NA,FALSE,NA
323,29,22,NA,FALSE,NA
335,30,14,NA,FALSE,NA
346,31,9,NA,FALSE,NA
357,32,15,NA,FALSE,NA
367,33,16,NA,FALSE,NA
377,34,7,NA,FALSE,NA
386,36,23,NA,FALSE,NA
396,37,10,NA,FALSE,NA
406,38,0,NA,FALSE,NA
416,39,1,NA,FALSE,NA
426,40,8,NA,FALSE,NA
436,41,11,NA,FALSE,NA
437,1,24,NA,FALSE,NA
445,2,25,NA,FALSE,NA
453,3,26,NA,FALSE,NA
461,4,27,NA,FALSE,NA
469,5,28,NA,FALSE,NA
477,6,29,NA,FALSE,NA
485,8,30,NA,FALSE,NA
493,9,31,NA,FALSE,NA
501,10,32,NA,FALSE,NA
509,11,33,NA,FALSE,NA
517,12,34,NA,FALSE,NA
525,13,35,NA,FALSE,NA
533,15,28,NA,FALSE,NA
541,16,36,NA,FALSE,NA
549,17,37,NA,FALSE,NA
557,18,30,NA,FALSE,NA
565,19,38,NA,FALSE,NA
573,20,39,NA,FALSE,NA
581,22,40,NA,FALSE,NA
589,23,41,NA,FALSE,NA
597,24,42,NA,FALSE,NA
605,25,43,NA,FALSE,NA
613,26,44,NA,FALSE,NA
621,27,45,NA,FALSE,NA
629,29,46,NA,FALSE,NA
637,30,38,NA,FALSE,NA
645,31,33,NA,FALSE,NA
653,32,39,NA,FALSE,NA
661,33,40,NA,FALSE,NA
668,34,31,NA,FALSE,NA
675,36,47,NA,FALSE,NA
682,37,34,NA,FALSE,NA
689,38,25,NA,FALSE,NA
696,39,26,NA,FALSE,NA
703,40,32,NA,FALSE,NA
710,41,35,NA,FALSE,NA
438,1,24,NA,FALSE,NA
446,2,25,NA,FALSE,NA
454,3,26,NA,FALSE,NA
462,4,27,NA,FALSE,NA
470,5,28,NA,FALSE,NA
478,6,29,NA,FALSE,NA
486,8,30,NA,FALSE,NA
494,9,31,NA,FALSE,NA
502,10,32,NA,FALSE,NA
510,11,33,NA,FALSE,NA
518,12,34,NA,FALSE,NA
526,13,35,NA,FALSE,NA
534,15,28,NA,FALSE,NA
542,16,36,NA,FALSE,NA
550,17,37,NA,FALSE,NA
558,18,30,NA,FALSE,NA
566,19,38,NA,FALSE,NA
574,20,39,NA,FALSE,NA
582,22,40,NA,FALSE,NA
590,23,41,NA,FALSE,NA
598,24,42,NA,FALSE,NA
606,25,43,NA,FALSE,NA
614,26,44,NA,FALSE,NA
622,27,45,NA,FALSE,NA
630,29,46,NA,FALSE,NA
638,30,38,NA,FALSE,NA
646,31,33,NA,FALSE,NA
654,32,39,NA,FALSE,NA
662,33,40,NA,FALSE,NA
669,34,31,NA,FALSE,NA
676,36,47,NA,FALSE,NA
683,37,34,NA,FALSE,NA
690,38,25,NA,FALSE,NA
697,39,26,NA,FALSE,NA
704,40,32,NA,FALSE,NA
711,41,35,NA,FALSE,NA
439,1,24,NA,FALSE,NA
447,2,25,NA,FALSE,NA
455,3,26,NA,FALSE,NA
463,4,27,NA,FALSE,NA
471,5,28,NA,FALSE,NA
479,6,29,NA,FALSE,NA
487,8,30,NA,FALSE,NA
495,9,31,NA,FALSE,NA
503,10,32,NA,FALSE,NA
511,11,33,NA,FALSE,NA
519,12,34,NA,FALSE,NA
527,13,35,NA,FALSE,NA
535,15,28,NA,FALSE,NA
543,16,36,NA,FALSE,NA
551,17,37,NA,FALSE,NA
559,18,30,NA,FALSE,NA
567,19,38,NA,FALSE,NA
575,20,39,NA,FALSE,NA
583,22,40,NA,FALSE,NA
591,23,41,NA,FALSE,NA
599,24,42,NA,FALSE,NA
607,25,43,NA,FALSE,NA
615,26,44,NA,FALSE,NA
623,27,45,NA,FALSE,NA
631,29,46,NA,FALSE,NA
639,30,38,NA,FALSE,NA
647,31,33,NA,FALSE,NA
655,32,39,NA,FALSE,NA
663,33,40,NA,FALSE,NA
670,34,31,NA,FALSE,NA
677,36,47,NA,FALSE,NA
684,37,34,NA,FALSE,NA
691,38,25,NA,FALSE,NA
698,39,26,NA,FALSE,NA
705,40,32,NA,FALSE,NA
712,41,35,NA,FALSE,NA
440,1,24,NA,FALSE,NA
448,2,25,NA,FALSE,NA
456,3,26,NA,FALSE,NA
464,4,27,NA,FALSE,NA
472,5,28,NA,FALSE,NA
480,6,29,NA,FALSE,NA
488,8,30,NA,FALSE,NA
496,9,31,NA,FALSE,NA
504,10,32,NA,FALSE,NA
512,11,33,NA,FALSE,NA
520,12,34,NA,FALSE,NA
528,13,35,NA,FALSE,NA
536,15,28,NA,FALSE,NA
544,16,36,NA,FALSE,NA
552,17,37,NA,FALSE,NA
560,18,30,NA,FALSE,NA
568,19,38,NA,FALSE,NA
576,20,39,NA,FALSE,NA
584,22,40,NA,FALSE,NA
592,23,41,NA,FALSE,NA
600,24,42,NA,FALSE,NA
608,25,43,NA,FALSE,NA
616,26,44,NA,FALSE,NA
624,27,45,NA,FALSE,NA
632,29,46,NA,FALSE,NA
640,30,38,NA,FALSE,NA
648,31,33,NA,FALSE,NA
656,32,39,NA,FALSE,NA
441,1,24,NA,FALSE,NA
449,2,25,NA,FALSE,NA
457,3,26,NA,FALSE,NA
465,4,27,NA,FALSE,NA
473,5,28,NA,FALSE,NA
481,6,29,NA,FALSE,NA
489,8,30,NA,FALSE,NA
497,9,31,NA,FALSE,NA
505,10,32,NA,FALSE,NA
513,11,33,NA,FALSE,NA
521,12,34,NA,FALSE,NA
529,13,35,NA,FALSE,NA
537,15,28,NA,FALSE,NA
545,16,36,NA,FALSE,NA
553,17,37,NA,FALSE,NA
561,18,30,NA,FALSE,NA
569,19,38,NA,FALSE,NA
